ds;y
2019-04-26;2.001.679.581
2019-04-25;17.704.077.222
2019-04-24;4.258.078.779
2019-04-23;1.614.341.013
2019-04-22;6.556.992.102
2019-04-18;24.304.014.116
2019-04-17;3.748.049.744
2019-04-16;2.562.457.006
2019-04-15;4.171.970.501
2019-04-12;3.495.359.561
2019-04-11;901.145.902
2019-04-10;1.696.609.531
2019-04-09;1.089.572.708
2019-04-08;2.777.489.959
2019-04-05;1.137.066.976
2019-04-04;828.677.696
2019-04-03;3.226.859.808
2019-04-02;912.935.450
2019-04-01;1.036.069.311
2019-03-29;19.916.930.466
2019-03-28;2.528.810.746
2019-03-27;1.367.987.859
2019-03-26;1.218.240.303
2019-03-25;18.471.948.443
2019-03-22;2.031.805.459
2019-03-21;1.446.975.219
2019-03-20;28.768.291.138
2019-03-19;3.226.986.931
2019-03-18;1.914.985.129
2019-03-15;2.159.284.051
2019-03-14;1.249.704.632
2019-03-13;3.132.503.348
2019-03-12;1.100.871.176
2019-03-11;983.403.802
2019-03-08;1.943.995.902
2019-03-07;2.931.031.718
2019-03-06;1.171.581.754
2019-03-01;781.657.790
2019-02-28;25.575.149.851
2019-02-27;2.722.909.618
2019-02-26;1.412.172.087
2019-02-25;18.653.361.243
2019-02-22;1.685.929.501
2019-02-21;1.294.390.871
2019-02-20;28.924.271.111
2019-02-19;3.298.468.028
2019-02-18;1.593.615.161
2019-02-15;1.528.642.445
2019-02-14;1.417.726.410
2019-02-13;2.630.922.115
2019-02-12;928.227.669
2019-02-11;784.923.319
2019-02-08;1.284.213.818
2019-02-07;1.350.429.194
2019-02-06;978.349.934
2019-02-05;2.873.141.389
2019-02-04;984.244.664
2019-02-01;980.732.271
2019-01-31;48.222.377.738
2019-01-30;6.718.344.561
2019-01-29;2.276.193.331
2019-01-28;2.130.396.780
2019-01-25;11.596.650.169
2019-01-24;8.300.665.824
2019-01-23;3.300.757.555
2019-01-22;1.622.205.167
2019-01-21;7.464.691.356
2019-01-18;29.148.257.858
2019-01-17;3.189.499.808
2019-01-16;1.435.876.439
2019-01-15;5.420.223.142
2019-01-14;1.478.215.670
2019-01-11;848.771.622
2019-01-10;1.802.290.869
2019-01-09;1.429.618.758
2019-01-08;838.280.140
2019-01-07;1.848.436.592
2019-01-04;5.781.969.737
2019-01-03;1.082.124.875
2019-01-02;1.261.204.716
2018-12-31;3.708.514.601
2018-12-28;14.388.819.102
2018-12-27;3.538.556.753
2018-12-26;5.323.932.835
2018-12-24;9.642.359.017
2018-12-21;8.778.784.799
2018-12-20;38.814.805.309
2018-12-19;4.361.366.342
2018-12-18;2.451.302.231
2018-12-17;2.491.996.179
2018-12-14;2.911.231.765
2018-12-13;3.207.080.049
2018-12-12;1.011.430.523
2018-12-11;1.389.502.577
2018-12-10;1.676.950.693
2018-12-07;1.574.223.589
2018-12-06;912.332.480
2018-12-05;8.426.601.959
2018-12-04;1.563.333.028
2018-12-03;1.865.570.812
2018-11-30;25.105.376.064
2018-11-29;3.292.894.566
2018-11-28;1.920.704.698
2018-11-27;1.890.712.090
2018-11-26;1.562.454.389
2018-11-23;18.521.540.001
2018-11-22;1.911.276.822
2018-11-21;3.792.846.726
2018-11-20;12.755.237.417
2018-11-19;16.589.254.245
2018-11-16;1.505.410.376
2018-11-14;5.442.472.045
2018-11-13;1.116.270.764
2018-11-12;990.001.647
2018-11-09;1.555.905.176
2018-11-08;716.824.333
2018-11-07;1.375.277.375
2018-11-06;3.697.066.319
2018-11-05;1.183.235.019
2018-11-01;983.854.990
2018-10-31;35.449.104.509
2018-10-30;5.307.822.450
2018-10-29;2.236.754.236
2018-10-26;1.191.414.953
2018-10-25;16.265.185.074
2018-10-24;3.723.428.977
2018-10-23;1.475.692.824
2018-10-22;6.246.370.771
2018-10-19;24.344.239.099
2018-10-18;2.701.458.855
2018-10-17;1.508.063.607
2018-10-16;3.184.305.920
2018-10-15;2.839.953.222
2018-10-11;1.006.567.517
2018-10-10;1.719.900.578
2018-10-09;791.131.069
2018-10-08;962.455.349
2018-10-05;1.301.658.684
2018-10-04;970.169.198
2018-10-03;2.774.247.357
2018-10-02;1.110.898.441
2018-10-01;1.035.631.382
2018-09-28;21.324.114.675
2018-09-27;2.748.643.444
2018-09-26;1.668.759.615
2018-09-25;18.389.167.634
2018-09-24;2.456.831.683
2018-09-21;1.706.656.950
2018-09-20;26.584.145.228
2018-09-19;4.526.850.413
2018-09-18;1.603.191.894
2018-09-17;2.618.956.956
2018-09-14;1.475.557.095
2018-09-13;2.421.079.481
2018-09-12;1.231.688.370
2018-09-11;787.943.176
2018-09-10;1.625.387.943
2018-09-06;1.062.368.860
2018-09-05;3.529.072.028
2018-09-04;975.393.299
2018-09-03;877.217.179
2018-08-31;20.162.820.834
2018-08-30;2.474.602.554
2018-08-29;1.620.912.692
2018-08-28;1.141.993.496
2018-08-27;1.163.970.348
2018-08-24;14.466.417.004
2018-08-23;3.171.694.231
2018-08-22;1.416.228.020
2018-08-21;1.222.033.315
2018-08-20;18.252.480.612
2018-08-17;1.941.144.505
2018-08-16;1.179.916.504
2018-08-15;3.308.056.171
2018-08-14;2.086.671.700
2018-08-13;877.049.529
2018-08-10;1.405.771.737
2018-08-09;874.508.537
2018-08-08;835.824.460
2018-08-07;1.416.194.601
2018-08-06;991.574.373
2018-08-03;2.385.003.767
2018-08-02;714.771.883
2018-08-01;1.037.530.465
2018-07-31;35.439.226.306
2018-07-30;4.312.917.770
2018-07-27;1.703.839.387
2018-07-26;1.194.961.639
2018-07-25;18.464.262.121
2018-07-24;2.128.381.680
2018-07-23;1.724.110.775
2018-07-20;17.031.099.910
2018-07-19;2.595.649.299
2018-07-18;1.656.265.416
2018-07-17;1.149.977.900
2018-07-16;1.361.737.363
2018-07-13;3.230.628.041
2018-07-12;1.038.257.379
2018-07-11;1.018.283.758
2018-07-10;1.506.631.610
2018-07-09;1.825.268.181
2018-07-06;981.365.560
2018-07-05;1.035.994.211
2018-07-04;3.056.779.034
2018-07-03;921.292.351
2018-07-02;1.549.398.739
2018-06-29;17.899.108.571
2018-06-28;2.478.084.922
2018-06-27;1.162.229.746
2018-06-26;1.226.757.576
2018-06-25;18.014.323.530
2018-06-22;1.336.606.186
2018-06-21;1.212.396.190
2018-06-20;17.521.362.454
2018-06-19;2.289.202.394
2018-06-18;1.826.031.890
2018-06-15;1.553.960.531
2018-06-14;2.383.339.805
2018-06-13;2.559.014.116
2018-06-12;849.297.133
2018-06-11;995.304.066
2018-06-08;1.319.794.685
2018-06-07;1.268.076.653
2018-06-06;1.005.543.749
2018-06-05;7.745.629.446
2018-06-04;1.159.302.043
2018-06-01;647.036.610
2018-05-30;18.204.940.601
2018-05-29;2.080.744.313
2018-05-28;1.327.196.089
2018-05-25;15.804.968.426
2018-05-24;1.761.151.815
2018-05-23;2.473.859.725
2018-05-22;1.045.002.013
2018-05-21;5.735.863.127
2018-05-18;13.848.569.155
2018-05-17;1.919.142.846
2018-05-16;1.181.132.684
2018-05-15;4.627.681.983
2018-05-14;1.165.081.197
2018-05-11;661.235.040
2018-05-10;1.369.967.318
2018-05-09;840.873.133
2018-05-08;846.504.121
2018-05-07;1.651.523.838
2018-05-04;2.315.009.061
2018-05-03;1.097.571.293
2018-05-02;1.171.925.998
2018-04-30;31.560.460.537
2018-04-27;6.488.541.988
2018-04-26;2.524.427.289
2018-04-25;19.948.343.826
2018-04-24;2.457.748.532
2018-04-23;1.655.731.352
2018-04-20;19.005.210.927
2018-04-19;2.695.290.131
2018-04-18;1.426.338.990
